lad19cd,lad19nm,Age.16+..Respondents, Age.16+..Inactive , Age.16+..Fairly.Active , Age.16..Active ,Male.Respondents, Male.Inactive , Male.Fairly.Active , Male.Active ,Female.Respondents, Female.Inactive , Female.Fairly.Active , Female.Active ,Total.Inactive.breaks,Total.Fairly.Active.breaks,Total.Active.breaks,Male.Inactive.breaks,Male.Fairly.Active.breaks,Male.Active.breaks,Female.Inactive.breaks,Female.Fairly.Active.breaks,Female.Active.breaks
E06000030,Swindon,552, 0.22 , 0.13 , 0.65 ,249, 0.22 , 0.14 , 0.64 ,301, 0.23 , 0.12 , 0.66 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E08000008,Tameside,907, 0.26 , 0.12 , 0.61 ,417, 0.24 , 0.11 , 0.65 ,486, 0.29 , 0.14 , 0.57 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E07000199,Tamworth,492, 0.29 , 0.12 , 0.59 ,216, 0.27 , -   , 0.62 ,276, 0.31 , 0.12 , 0.56 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000215,Tandridge,440, 0.21 , 0.12 , 0.67 ,201, 0.20 , -   , 0.71 ,238, 0.22 , 0.16 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,70-80%,20-30%,10-20%,60-70%
E07000045,Teignbridge,522, 0.22 , 0.12 , 0.65 ,222, 0.21 , -   , 0.66 ,299, 0.24 , 0.12 , 0.64 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E06000020,Telford and Wrekin,467, 0.23 , 0.10 , 0.66 ,209, 0.23 , -   , 0.66 ,257, 0.24 , -   , 0.67 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,NA,60-70%
E07000076,Tendring,496, 0.30 , 0.16 , 0.54 ,213, 0.32 , 0.14 , 0.54 ,283, 0.29 , 0.17 , 0.53 ,30-40%,10-20%,50-60%,30-40%,10-20%,50-60%,20-30%,10-20%,50-60%
E07000093,Test Valley,508, 0.20 , 0.12 , 0.68 ,224, 0.19 , -   , 0.71 ,282, 0.22 , 0.13 , 0.65 ,20-30%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E07000083,Tewkesbury,495, 0.24 , 0.14 , 0.62 ,221, 0.21 , -   , 0.66 ,271, 0.25 , 0.16 , 0.59 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000114,Thanet,525, 0.29 , 0.13 , 0.58 ,226, 0.28 , -   , 0.63 ,298, 0.31 , 0.15 , 0.54 ,20-30%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000102,Three Rivers,519, 0.19 , 0.14 , 0.67 ,241, 0.17 , 0.11 , 0.72 ,276, 0.21 , 0.17 , 0.62 ,10-20%,10-20%,60-70%,10-20%,10-20%,70-80%,20-30%,10-20%,60-70%
E06000034,Thurrock,523, 0.31 , 0.13 , 0.56 ,234, 0.29 , 0.12 , 0.60 ,288, 0.32 , 0.15 , 0.53 ,30-40%,10-20%,50-60%,20-30%,10-20%,50-60%,30-40%,10-20%,50-60%
E07000115,Tonbridge and Malling,511, 0.20 , 0.11 , 0.70 ,222, 0.14 , -   , 0.76 ,287, 0.25 , 0.12 , 0.63 ,10-20%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E06000027,Torbay,482, 0.26 , 0.13 , 0.61 ,206, 0.22 , -   , 0.67 ,274, 0.28 , 0.15 , 0.58 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000046,Torridge,411, 0.23 , 0.07 , 0.70 ,169, 0.24 , -   , 0.71 ,240, 0.21 , -   , 0.69 ,20-30%,0-10%,70-80%,20-30%,NA,70-80%,20-30%,NA,60-70%
E09000030,Tower Hamlets,483, 0.20 , 0.11 , 0.69 ,217, 0.14 , -   , 0.75 ,261, 0.28 , -   , 0.62 ,20-30%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,NA,60-70%
E08000009,Trafford,1080, 0.23 , 0.11 , 0.66 ,484, 0.22 , 0.10 , 0.67 ,594, 0.24 , 0.12 , 0.64 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E07000116,Tunbridge Wells,440, 0.18 , 0.13 , 0.70 ,183, -   , -   , 0.71 ,255, 0.19 , 0.12 , 0.69 ,10-20%,10-20%,60-70%,NA,NA,70-80%,10-20%,10-20%,60-70%
E07000077,Uttlesford,492, 0.20 , 0.11 , 0.69 ,220, 0.19 , -   , 0.69 ,272, 0.22 , -   , 0.69 ,20-30%,10-20%,60-70%,10-20%,NA,60-70%,20-30%,NA,60-70%
E07000180,Vale of White Horse,559, 0.18 , 0.16 , 0.66 ,252, 0.15 , 0.15 , 0.70 ,306, 0.20 , 0.17 , 0.63 ,10-20%,10-20%,60-70%,10-20%,10-20%,70-80%,20-30%,10-20%,60-70%
E08000036,Wakefield,501, 0.30 , 0.07 , 0.63 ,224, 0.29 , -   , 0.63 ,276, 0.30 , -   , 0.63 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,20-30%,NA,60-70%
E08000030,Walsall,498, 0.31 , 0.11 , 0.58 ,226, 0.29 , -   , 0.62 ,270, 0.33 , 0.13 , 0.54 ,30-40%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E09000031,Waltham Forest,439, 0.24 , 0.12 , 0.64 ,180, 0.21 , -   , 0.68 ,258, 0.26 , 0.14 , 0.60 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E09000032,Wandsworth,467, 0.14 , 0.07 , 0.79 ,191, 0.14 , -   , 0.82 ,276, 0.13 , -   , 0.77 ,10-20%,0-10%,70-80%,10-20%,NA,80-90%,10-20%,NA,70-80%
E06000007,Warrington,521, 0.22 , 0.16 , 0.62 ,230, 0.21 , -   , 0.63 ,290, 0.23 , 0.17 , 0.60 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000222,Warwick,467, 0.19 , 0.10 , 0.71 ,205, 0.15 , -   , 0.77 ,262, 0.22 , 0.13 , 0.66 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E07000103,Watford,407, 0.27 , 0.16 , 0.57 ,177, 0.24 , -   , 0.58 ,229, 0.31 , 0.13 , 0.56 ,20-30%,10-20%,50-60%,20-30%,NA,50-60%,30-40%,10-20%,50-60%
E07000216,Waverley,475, 0.14 , 0.12 , 0.74 ,221, 0.13 , -   , 0.77 ,254, 0.16 , 0.13 , 0.71 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,10-20%,70-80%
E07000065,Wealden,454, 0.25 , 0.13 , 0.63 ,187, 0.24 , -   , 0.64 ,265, 0.24 , 0.14 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000156,Wellingborough,496, 0.28 , 0.11 , 0.61 ,230, 0.26 , -   , 0.65 ,263, 0.30 , 0.14 , 0.57 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000241,Welwyn Hatfield,528, 0.23 , 0.17 , 0.60 ,232, 0.26 , 0.19 , 0.55 ,294, 0.20 , 0.15 , 0.65 ,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%
E06000037,West Berkshire,486, 0.24 , 0.15 , 0.61 ,226, 0.22 , -   , 0.63 ,260, 0.26 , 0.16 , 0.58 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E07000047,West Devon,450, 0.21 , 0.11 , 0.68 ,196, 0.26 , -   , 0.65 ,254, 0.16 , -   , 0.71 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,10-20%,NA,70-80%
E07000127,West Lancashire,538, 0.28 , 0.09 , 0.63 ,245, 0.30 , -   , 0.63 ,292, 0.27 , 0.11 , 0.63 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000142,West Lindsey,492, 0.33 , 0.11 , 0.56 ,216, 0.31 , -   , 0.58 ,273, 0.35 , 0.11 , 0.54 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,50-60%
E07000181,West Oxfordshire,487, 0.27 , 0.09 , 0.64 ,206, 0.26 , -   , 0.67 ,280, 0.27 , 0.11 , 0.61 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E09000033,Westminster,530, 0.22 , 0.11 , 0.67 ,261, 0.21 , 0.14 , 0.66 ,269, 0.23 , -   , 0.69 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,NA,60-70%
E08000010,Wigan,988, 0.30 , 0.12 , 0.58 ,440, 0.31 , 0.12 , 0.57 ,548, 0.28 , 0.13 , 0.59 ,20-30%,10-20%,50-60%,30-40%,10-20%,50-60%,20-30%,10-20%,50-60%
E06000054,Wiltshire,505, 0.20 , 0.14 , 0.66 ,211, 0.22 , -   , 0.66 ,294, 0.19 , 0.15 , 0.66 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,10-20%,10-20%,60-70%
E07000094,Winchester,544, 0.15 , 0.13 , 0.73 ,244, 0.15 , -   , 0.75 ,299, 0.15 , 0.15 , 0.70 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,10-20%,60-70%
E06000040,Windsor and Maidenhead,548, 0.19 , 0.08 , 0.73 ,241, 0.14 , -   , 0.78 ,305, 0.23 , 0.09 , 0.68 ,10-20%,0-10%,70-80%,10-20%,NA,70-80%,20-30%,0-10%,60-70%
E08000015,Wirral,473, 0.26 , 0.13 , 0.61 ,218, 0.27 , -   , 0.62 ,255, 0.24 , 0.16 , 0.60 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000217,Woking,496, 0.19 , 0.12 , 0.69 ,241, 0.15 , 0.11 , 0.74 ,254, 0.23 , 0.13 , 0.64 ,10-20%,10-20%,60-70%,10-20%,10-20%,70-80%,20-30%,10-20%,60-70%
E06000041,Wokingham,497, 0.16 , 0.11 , 0.73 ,227, 0.13 , -   , 0.75 ,268, 0.19 , 0.11 , 0.70 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,10-20%,60-70%
E08000031,Wolverhampton,435, 0.34 , 0.14 , 0.53 ,187, 0.33 , -   , 0.55 ,244, 0.34 , -   , 0.50 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,NA,50-60%
E07000237,Worcester,475, 0.25 , 0.11 , 0.64 ,205, 0.27 , -   , 0.62 ,266, 0.22 , 0.11 , 0.67 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E07000229,Worthing,450, 0.20 , 0.10 , 0.70 ,215, 0.20 , -   , 0.72 ,235, 0.20 , -   , 0.68 ,20-30%,0-10%,70-80%,10-20%,NA,70-80%,20-30%,NA,60-70%
E07000238,Wychavon,468, 0.22 , 0.16 , 0.62 ,214, 0.25 , -   , 0.63 ,253, 0.19 , 0.20 , 0.61 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,10-20%,10-20%,60-70%
E07000007,Wycombe,501, 0.19 , 0.10 , 0.72 ,216, 0.16 , -   , 0.73 ,282, 0.21 , -   , 0.70 ,10-20%,0-10%,70-80%,10-20%,NA,70-80%,20-30%,NA,60-70%
E07000128,Wyre,569, 0.28 , 0.13 , 0.59 ,255, 0.23 , 0.14 , 0.62 ,312, 0.32 , 0.11 , 0.57 ,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%,30-40%,10-20%,50-60%
E07000239,Wyre Forest,495, 0.26 , 0.12 , 0.61 ,202, 0.22 , -   , 0.67 ,292, 0.30 , 0.14 , 0.57 ,20-30%,10-20%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,50-60%
E06000014,York,487, 0.14 , 0.11 , 0.75 ,213, 0.15 , -   , 0.76 ,274, 0.13 , 0.12 , 0.74 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,10-20%,70-80%
E06000058,"Bournemouth, Christchurch and Poole",1353, 0.22 , 0.12 , 0.66 ,598, 0.19 , 0.13 , 0.68 ,749, 0.24 , 0.11 , 0.65 ,20-30%,10-20%,60-70%,10-20%,10-20%,60-70%,20-30%,10-20%,60-70%
E06000059,Dorset (LA),2464, 0.22 , 0.14 , 0.64 ,1070, 0.22 , 0.12 , 0.66 ,1389, 0.22 , 0.15 , 0.63 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E07000244,East Suffolk,981, 0.27 , 0.11 , 0.62 ,437, 0.25 , 0.08 , 0.66 ,542, 0.28 , 0.14 , 0.59 ,20-30%,10-20%,60-70%,20-30%,0-10%,60-70%,20-30%,10-20%,50-60%
E07000246,Somerset West and Taunton,895, 0.26 , 0.10 , 0.64 ,398, 0.25 , 0.10 , 0.64 ,497, 0.26 , 0.10 , 0.64 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,0-10%,60-70%
E07000245,West Suffolk,892, 0.24 , 0.11 , 0.65 ,376, 0.20 , 0.09 , 0.71 ,515, 0.28 , 0.13 , 0.59 ,20-30%,10-20%,60-70%,20-30%,0-10%,70-80%,20-30%,10-20%,50-60%
E10000002,Buckinghamshire,1883, 0.19 , 0.13 , 0.69 ,840, 0.18 , 0.11 , 0.70 ,1038, 0.19 , 0.14 , 0.67 ,10-20%,10-20%,60-70%,10-20%,10-20%,70-80%,10-20%,10-20%,60-70%
E10000003,Cambridgeshire,2630, 0.23 , 0.14 , 0.64 ,1165, 0.22 , 0.14 , 0.64 ,1452, 0.23 , 0.13 , 0.64 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000006,Cumbria,2992, 0.25 , 0.12 , 0.63 ,1353, 0.23 , 0.11 , 0.66 ,1627, 0.26 , 0.13 , 0.61 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000007,Derbyshire,4043, 0.25 , 0.12 , 0.63 ,1801, 0.26 , 0.10 , 0.64 ,2229, 0.24 , 0.14 , 0.62 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000008,Devon,3882, 0.19 , 0.11 , 0.69 ,1669, 0.18 , 0.09 , 0.72 ,2205, 0.20 , 0.13 , 0.67 ,10-20%,10-20%,60-70%,10-20%,0-10%,70-80%,10-20%,10-20%,60-70%
E10000009,Dorset (County),2889, 0.22 , 0.13 , 0.65 ,1266, 0.22 , 0.12 , 0.66 ,1616, 0.22 , 0.15 , 0.63 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000011,East Sussex,2427, 0.26 , 0.12 , 0.62 ,1046, 0.24 , 0.11 , 0.64 ,1375, 0.27 , 0.13 , 0.60 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000012,Essex,5977, 0.24 , 0.13 , 0.63 ,2578, 0.24 , 0.11 , 0.65 ,3380, 0.24 , 0.14 , 0.62 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000013,Gloucestershire,3072, 0.22 , 0.11 , 0.66 ,1396, 0.22 , 0.11 , 0.67 ,1666, 0.23 , 0.11 , 0.66 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000014,Hampshire,5431, 0.22 , 0.12 , 0.66 ,2464, 0.20 , 0.11 , 0.69 ,2954, 0.23 , 0.14 , 0.64 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000015,Hertfordshire,4713, 0.23 , 0.14 , 0.64 ,2094, 0.22 , 0.13 , 0.65 ,2606, 0.23 , 0.14 , 0.62 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000016,Kent,5906, 0.24 , 0.12 , 0.64 ,2568, 0.22 , 0.12 , 0.66 ,3323, 0.26 , 0.12 , 0.62 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000017,Lancashire,6125, 0.27 , 0.12 , 0.62 ,2766, 0.26 , 0.11 , 0.63 ,3344, 0.27 , 0.13 , 0.61 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000018,Leicestershire,3426, 0.24 , 0.13 , 0.63 ,1557, 0.22 , 0.12 , 0.66 ,1859, 0.26 , 0.15 , 0.60 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E10000019,Lincolnshire,3387, 0.30 , 0.12 , 0.58 ,1488, 0.29 , 0.11 , 0.60 ,1880, 0.30 , 0.13 , 0.56 ,20-30%,10-20%,50-60%,20-30%,10-20%,50-60%,30-40%,10-20%,50-60%
E10000020,Norfolk,3584, 0.25 , 0.14 , 0.62 ,1595, 0.24 , 0.14 , 0.62 ,1981, 0.25 , 0.14 , 0.61 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000021,Northamptonshire,3418, 0.26 , 0.13 , 0.60 ,1539, 0.27 , 0.11 , 0.62 ,1865, 0.25 , 0.16 , 0.59 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E10000023,North Yorkshire,3404, 0.23 , 0.12 , 0.65 ,1535, 0.22 , 0.12 , 0.66 ,1863, 0.24 , 0.11 , 0.64 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000024,Nottinghamshire,3587, 0.25 , 0.12 , 0.63 ,1612, 0.25 , 0.10 , 0.66 ,1967, 0.26 , 0.14 , 0.61 ,20-30%,10-20%,60-70%,20-30%,0-10%,60-70%,20-30%,10-20%,60-70%
E10000025,Oxfordshire,2732, 0.20 , 0.13 , 0.67 ,1182, 0.17 , 0.12 , 0.71 ,1542, 0.23 , 0.13 , 0.64 ,20-30%,10-20%,60-70%,10-20%,10-20%,70-80%,20-30%,10-20%,60-70%
E10000027,Somerset,2422, 0.25 , 0.11 , 0.64 ,1051, 0.24 , 0.10 , 0.66 ,1367, 0.26 , 0.13 , 0.62 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000028,Staffordshire,4129, 0.26 , 0.14 , 0.60 ,1811, 0.25 , 0.13 , 0.62 ,2304, 0.27 , 0.15 , 0.58 ,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E10000029,Suffolk,3331, 0.26 , 0.12 , 0.62 ,1439, 0.22 , 0.11 , 0.67 ,1886, 0.29 , 0.13 , 0.58 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E10000030,Surrey,5190, 0.20 , 0.11 , 0.69 ,2349, 0.17 , 0.11 , 0.72 ,2828, 0.22 , 0.12 , 0.66 ,10-20%,10-20%,60-70%,10-20%,10-20%,70-80%,20-30%,10-20%,60-70%
E10000031,Warwickshire,2498, 0.25 , 0.12 , 0.63 ,1092, 0.22 , 0.10 , 0.68 ,1402, 0.27 , 0.15 , 0.58 ,20-30%,10-20%,60-70%,20-30%,0-10%,60-70%,20-30%,10-20%,50-60%
E10000032,West Sussex,3413, 0.21 , 0.12 , 0.67 ,1532, 0.20 , 0.11 , 0.69 ,1876, 0.22 , 0.13 , 0.66 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E10000034,Worcestershire,3022, 0.25 , 0.13 , 0.62 ,1318, 0.24 , 0.11 , 0.64 ,1697, 0.25 , 0.15 , 0.60 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E12000004,East Midlands,21221, 0.26 , 0.12 , 0.62 ,9487, 0.25 , 0.11 , 0.64 ,11658, 0.26 , 0.14 , 0.60 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E12000006,East,23239, 0.25 , 0.13 , 0.62 ,10191, 0.24 , 0.12 , 0.64 ,12974, 0.25 , 0.14 , 0.61 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E12000007,London,16045, 0.24 , 0.11 , 0.64 ,6982, 0.23 , 0.10 , 0.67 ,8991, 0.25 , 0.12 , 0.62 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E12000001,North East,6932, 0.28 , 0.11 , 0.60 ,3118, 0.27 , 0.10 , 0.63 ,3803, 0.29 , 0.13 , 0.58 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E12000002,North West,26785, 0.26 , 0.12 , 0.62 ,11950, 0.25 , 0.11 , 0.65 ,14759, 0.27 , 0.13 , 0.60 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E12000008,South East,32882, 0.22 , 0.12 , 0.66 ,14583, 0.20 , 0.11 , 0.69 ,18217, 0.23 , 0.13 , 0.64 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E12000009,South West,19476, 0.22 , 0.12 , 0.67 ,8509, 0.21 , 0.11 , 0.67 ,10918, 0.21 , 0.13 , 0.66 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%
E12000005,West Midlands,16461, 0.28 , 0.13 , 0.59 ,7233, 0.27 , 0.11 , 0.62 ,9175, 0.29 , 0.14 , 0.57 ,20-30%,10-20%,50-60%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
E12000003,Yorkshire and the Humber,14835, 0.26 , 0.11 , 0.62 ,6541, 0.25 , 0.10 , 0.65 ,8238, 0.27 , 0.13 , 0.60 ,20-30%,10-20%,60-70%,20-30%,10-20%,60-70%,20-30%,10-20%,50-60%
