lad19cd,lad19nm,Age.16+..Respondents, Age.16+..Inactive , Age.16+..Fairly.Active , Age.16..Active ,Male.Respondents, Male.Inactive , Male.Fairly.Active , Male.Active ,Female.Respondents, Female.Inactive , Female.Fairly.Active , Female.Active ,Total.Inactive.breaks,Total.Fairly.Active.breaks,Total.Active.breaks,Male.Inactive.breaks,Male.Fairly.Active.breaks,Male.Active.breaks,Female.Inactive.breaks,Female.Fairly.Active.breaks,Female.Active.breaks
E07000041,Exeter,507, 0.15 , 0.12 , 0.73 ,219, 0.13 , -   , 0.78 ,287, 0.17 , 0.16 , 0.67 ,10-20%,10-20%,70-80%,10-20%,NA,70-80%,10-20%,10-20%,60-70%
E07000087,Fareham,464, 0.20 , 0.13 , 0.67 ,205, 0.17 , -   , 0.71 ,257, 0.23 , 0.14 , 0.64 ,20-30%,10-20%,60-70%,10-20%,NA,70-80%,20-30%,10-20%,60-70%
E07000010,Fenland,470, 0.34 , 0.13 , 0.53 ,200, 0.33 , -   , 0.60 ,266, 0.35 , 0.19 , 0.47 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,30-40%,10-20%,40-50%
E07000080,Forest of Dean,527, 0.23 , 0.09 , 0.68 ,241, 0.26 , -   , 0.64 ,284, 0.20 , -   , 0.72 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,20-30%,NA,70-80%
E07000119,Fylde,521, 0.28 , 0.09 , 0.63 ,245, 0.28 , -   , 0.65 ,274, 0.26 , 0.13 , 0.62 ,20-30%,0-10%,60-70%,20-30%,NA,60-70%,20-30%,10-20%,60-70%
E08000037,Gateshead,390, 0.32 , 0.12 , 0.55 ,176, 0.35 , -   , 0.56 ,214, 0.30 , 0.16 , 0.54 ,30-40%,10-20%,50-60%,30-40%,NA,50-60%,20-30%,10-20%,50-60%
E07000173,Gedling,532, 0.25 , 0.14 , 0.61 ,229, 0.19 , 0.14 , 0.66 ,302, 0.31 , 0.14 , 0.55 ,20-30%,10-20%,60-70%,10-20%,10-20%,60-70%,30-40%,10-20%,50-60%
E07000081,Gloucester,529, 0.29 , 0.11 , 0.60 ,236, 0.28 , -   , 0.59 ,291, 0.28 , 0.09 , 0.62 ,20-30%,10-20%,60-70%,20-30%,NA,50-60%,20-30%,0-10%,60-70%
E07000088,Gosport,491, 0.30 , 0.11 , 0.59 ,210, 0.28 , -   , 0.62 ,280, 0.32 , 0.11 , 0.57 ,30-40%,10-20%,50-60%,20-30%,NA,60-70%,30-40%,10-20%,50-60%
E07000109,Gravesham,461, 0.30 , 0.15 , 0.56 ,205, 0.32 , -   , 0.56 ,255, 0.27 , 0.18 , 0.55 ,20-30%,10-20%,50-60%,30-40%,NA,50-60%,20-30%,10-20%,50-60%
